B 0
W Y (90,Hellsing,000-474-2038)
R Y 615
R Y 1304
W Y (261,Faye,322-748-7342)
W Y (995,Spike,425-386-0713)
R Y 660
R Y 268
W Y (799,Faye,686-282-0258)
W Y (159,Faye,076-064-5645)
W Y (746,Ed,817-446-4152)
R Y 509
R Y 842
R Y 1945
W Y (249,Lodoss,062-345-7461)
W Y (1698,Jet,660-043-0641)
W Y (180,Alucard,236-011-3232)
W Y (687,Parn,883-310-5120)
R Y 1963
W Y (422,Jet,773-160-0344)
W Y (484,Deedlit,355-805-0437)
W Y (895,Spike,086-832-1872)
W Y (831,Spike,648-456-8250)
W Y (226,Hellsing,188-631-7820)
W Y (446,Hellsing,553-346-6728)
R Y 1616
R Y 697
R Y 821
W Y (1613,Spike,622-071-0447)
W Y (222,Lodoss,436-670-1623)
W Y (340,Bebop,006-714-0352)
W Y (633,Deedlit,677-556-2076)
R Y 1657
W Y (830,Faye,041-025-2180)
R Y 154
W Y (241,Deedlit,663-632-6433)
R Y 1734
W Y (730,Seras,338-211-4600)
W Y (1214,Jet,764-211-5511)
R Y 362
W Y (265,Parn,803-383-8188)
W Y (498,Deedlit,137-585-7151)
R Y 399
W Y (1756,Alucard,157-216-2175)
R Y 865
R Y 1853
W Y (500,Jet,104-208-1156)
R Y 816
R Y 673
W Y (182,Jet,073-012-3465)
D Y
W Y (540,Parn,841-802-4345)
R Y 1023
W Y (109,Lodoss,568-547-6107)
W Y (45,Lodoss,366-562-5273)
R Y 330
W Y (293,Hellsing,342-455-5473)
R Y 482
W Y (658,Ed,155-210-8081)
W Y (1273,Spike,673-173-3260)
W Y (1835,Bebop,170-012-6047)
W Y (497,Faye,477-723-1162)
W Y (1914,Spike,365-073-3667)
D Y
R Y 1529
W Y (344,Ed,767-226-7802)
R Y 1122
R Y 1947
R Y 1314
R Y 880
W Y (837,Hellsing,762-261-7755)
W Y (1954,Lodoss,517-582-4888)
R Y 364
W Y (10,Spike,134-781-0530)
R Y 534
W Y (310,Bebop,772-281-4067)
R Y 794
W Y (77,Deedlit,626-566-0137)
W Y (182,Bebop,803-512-5022)
W Y (609,Alucard,423-178-3048)
W Y (1130,Hellsing,673-841-7802)
W Y (1148,Seras,626-375-6076)
R Y 1153
D Y
R Y 1074
W Y (552,Jet,751-455-2611)
W Y (1748,Ed,413-221-5433)
W Y (1986,Ed,574-611-0258)
R Y 944
W Y (15,Seras,138-345-0338)
D Y
R Y 1832
R Y 4
R Y 1448
W Y (448,Faye,746-118-0766)
W Y (495,Seras,018-582-5838)
R Y 1475
R Y 1619
W Y (1591,Lodoss,577-324-2044)
R Y 311
W Y (1318,Hellsing,263-776-5825)
C
